School ID,School ID,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
610590, BRONZEVILLE CLASSICAL , Network 9 ,  423 ,  23 ,5.4%,  314 ,74.2%,  - ,0.0%,  1 ,0.2%,  22 ,5.2%,  26 ,6.1%,  37 ,8.7%,  - ,0.0%,  - ,0.0%
610381, BRONZEVILLE HS , Network 17 ,  104 ,  1 ,1.0%,  96 ,92.3%,  - ,0.0%,  - ,0.0%,  6 ,5.8%,  - ,0.0%,  - ,0.0%,  1 ,1.0%,  - ,0.0%
609726, BROOKS HS , ISP ,  974 ,  13 ,1.3%,  765 ,78.5%,  - ,0.0%,  1 ,0.1%,  183 ,18.8%,  7 ,0.7%,  3 ,0.3%,  1 ,0.1%,  1 ,0.1%
610091, BROWN R , Network 13 ,  289 ,  - ,0.0%,  287 ,99.3%,  - ,0.0%,  - ,0.0%,  1 ,0.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  1 ,0.3%
609812, BROWN W , Network 6 ,  271 ,  2 ,0.7%,  252 ,93.0%,  - ,0.0%,  - ,0.0%,  12 ,4.4%,  1 ,0.4%,  4 ,1.5%,  - ,0.0%,  - ,0.0%
609813, BROWNELL , Network 12 ,  130 ,  1 ,0.8%,  125 ,96.2%,  - ,0.0%,  - ,0.0%,  1 ,0.8%,  2 ,1.5%,  - ,0.0%,  - ,0.0%,  1 ,0.8%
609830, BRUNSON , Network 3 ,  436 ,  5 ,1.1%,  333 ,76.4%,  - ,0.0%,  - ,0.0%,  91 ,20.9%,  2 ,0.5%,  - ,0.0%,  1 ,0.2%,  4 ,0.9%
609817, BUDLONG , ISP ,  728 ,  250 ,34.3%,  38 ,5.2%,  - ,0.0%,  4 ,0.5%,  279 ,38.3%,  29 ,4.0%,  126 ,17.3%,  - ,0.0%,  2 ,0.3%
609818, BURBANK , Network 3 ,  697 ,  10 ,1.4%,  27 ,3.9%,  - ,0.0%,  4 ,0.6%,  650 ,93.3%,  1 ,0.1%,  5 ,0.7%,  - ,0.0%,  - ,0.0%
609819, BURKE , Network 9 ,  248 ,  5 ,2.0%,  234 ,94.4%,  - ,0.0%,  - ,0.0%,  7 ,2.8%,  2 ,0.8%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609820, BURLEY , Network 4 ,  496 ,  321 ,64.7%,  9 ,1.8%,  - ,0.0%,  - ,0.0%,  78 ,15.7%,  29 ,5.8%,  59 ,11.9%,  - ,0.0%,  - ,0.0%
609821, BURNHAM , Network 13 ,  418 ,  1 ,0.2%,  401 ,95.9%,  - ,0.0%,  - ,0.0%,  15 ,3.6%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609827, BURNSIDE , Network 12 ,  287 ,  - ,0.0%,  281 ,97.9%,  - ,0.0%,  - ,0.0%,  5 ,1.7%,  1 ,0.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609828, BURR , Network 6 ,  447 ,  181 ,40.5%,  39 ,8.7%,  - ,0.0%,  1 ,0.2%,  156 ,34.9%,  50 ,11.2%,  20 ,4.5%,  - ,0.0%,  - ,0.0%
609829, BURROUGHS , Network 8 ,  307 ,  11 ,3.6%,  11 ,3.6%,  - ,0.0%,  - ,0.0%,  279 ,90.9%,  - ,0.0%,  6 ,2.0%,  - ,0.0%,  - ,0.0%
609832, BYRNE , Network 10 ,  580 ,  152 ,26.2%,  23 ,4.0%,  - ,0.0%,  2 ,0.3%,  399 ,68.8%,  4 ,0.7%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610353, CALMECA , Network 8 ,  626 ,  5 ,0.8%,  6 ,1.0%,  - ,0.0%,  1 ,0.2%,  608 ,97.1%,  - ,0.0%,  4 ,0.6%,  - ,0.0%,  2 ,0.3%
