School ID, School Name , Network ,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
610291,LEE,ISP,578,163,28.2%,96,16.6%,486,84.1%
400049,LEGACY,Charter,458,7,1.5%,68,14.8%,402,87.8%
400119,LEGAL PREP HS,Charter,213,1,0.5%,43,20.2%,196,92.0%
610305,LELAND,Network 3,307,2,0.7%,59,19.2%,236,76.9%
610298,LENART,ISP,295,1,0.3%,8,2.7%,85,28.8%
610036,LEWIS,Network 3,418,129,30.9%,67,16.0%,348,83.3%
610037,LIBBY,Network 8,252,76,30.2%,63,25.0%,214,84.9%
610038,LINCOLN,Network 4,843,47,5.6%,60,7.1%,107,12.7%
609738,LINCOLN PARK HS,Network 14,2097,155,7.4%,156,7.4%,1009,48.1%
610391,LINDBLOM HS,Network 16,1347,38,2.8%,91,6.8%,826,61.3%
400137,LITTLE BLACK PEARL HS,Options,79,0,0.0%,13,16.5%,72,91.1%
609834,LITTLE VILLAGE,ISP,566,326,57.6%,84,14.8%,492,86.9%
610040,LLOYD,Network 3,815,514,63.1%,110,13.5%,618,75.8%
400011,LOCKE A,Charter,371,0,0.0%,56,15.1%,288,77.6%
610041,LOCKE J,Network 3,1133,474,41.8%,214,18.9%,860,75.9%
610541,LORCA,Network 4,611,328,53.7%,78,12.8%,469,76.8%
610043,LOVETT,Network 3,336,54,16.1%,50,14.9%,256,76.2%
610044,LOWELL,Network 5,308,112,36.4%,102,33.1%,257,83.4%
610029,LOZANO,Network 6,241,140,58.1%,61,25.3%,105,43.6%
610046,LYON,Network 3,986,494,50.1%,137,13.9%,776,78.7%
610215,MADERO,Network 7,248,102,41.1%,48,19.4%,233,94.0%
610047,MADISON,Network 12,214,4,1.9%,24,11.2%,187,87.4%
610048,MANIERRE,Network 4,278,1,0.4%,42,15.1%,224,80.6%
609722,MANLEY HS,Network 15,78,0,0.0%,24,30.8%,72,92.3%
610052,MANN,Network 12,270,7,2.6%,26,9.6%,214,79.3%
609780,MARINE LEADERSHIP AT AMES HS,Network 14,628,255,40.6%,86,13.7%,583,92.8%
610053,MARQUETTE,Network 10,1026,450,43.9%,169,16.5%,833,81.2%
