School ID,School Name,Network,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
609883,Charles S Deneen Elementary School,AUSL,619.0,1.0,0.16,95.0,15.35,612.5,98.95
609884,William E Dever Elementary School,Network 1,846.5,235.0,27.76,106.5,12.58,534.0,63.08
609885,Dewey Elementary Academy of Fine Arts,AUSL,362.5,3.5,0.97,38.5,10.64,360.5,99.45
609887,Arthur Dixon Elementary School,Network 12,652.5,2.5,0.38,69.5,10.66,581.0,89.06
609888,Mary Mapes Dodge Elementary Renaissance Academy,AUSL,220.0,0.0,0.0,23.0,10.62,207.5,94.61
609891,James R Doolittle Jr Elementary School,Network 9,305.5,1.5,0.49,36.0,11.78,298.0,97.54
609893,John C Dore Elementary School,Network 10,659.5,105.5,16.02,117.0,17.72,378.5,57.42
609894,John B Drake Elementary School,Network 9,489.5,3.5,0.71,84.5,17.26,446.0,91.04
609895,Turner-Drew Elementary Language Academy,Network 11,339.5,0.0,0.0,50.0,14.7,276.5,81.21
609896,Thomas Drummond Elementary School,Network 6,350.5,25.5,7.28,31.0,8.86,107.5,30.66
609897,Charles W Earle Elementary School,Network 11,523.0,1.0,0.19,70.5,13.5,511.5,97.81
609898,John F Eberhart Elementary School,Network 10,,603.5,38.4,139.0,8.86,,97.96
609899,Christian Ebinger Elementary School,Network 1,721.5,35.0,4.85,97.0,13.44,132.0,18.31
609900,George W Curtis Elementary School,AUSL,636.5,14.5,2.28,72.0,11.31,629.5,98.9
609901,Edgebrook Elementary School,Network 1,507.5,5.0,0.98,68.0,13.4,67.5,13.29
609902,Ralph H Metcalfe Elementary Community Academy,Network 13,511.0,0.0,0.0,44.0,8.62,455.0,89.4
609903,Richard Edwards Elementary School,Network 8,,729.0,49.08,134.5,9.07,,96.94
609904,Edward K Ellington Elementary School,Network 3,715.5,8.5,1.19,115.5,16.11,704.0,98.4
609907,Leif Ericson Elementary Scholastic Academy,OS4,473.5,0.0,0.0,29.5,6.27,463.5,97.88
609908,Esmond Elementary School,OS4,342.5,1.5,0.46,46.0,13.42,327.5,95.56
609909,Edward Everett Elementary School,Network 8,247.0,92.5,37.27,29.5,11.98,237.0,96.0
609910,Laughlin Falconer Elementary School,Network 3,,631.0,44.5,157.5,11.11,,96.26
609912,James B Farnsworth Elementary School,Network 1,591.5,142.5,24.06,142.0,24.02,372.0,62.92
609917,Fernwood Elementary School,Network 13,326.5,0.0,0.0,38.0,11.64,318.5,97.54
609918,Eugene Field Elementary School,Network 2,371.0,94.5,25.53,50.0,13.46,352.0,94.92
609919,John Fiske Elementary School,Network 9,509.5,0.0,0.0,47.5,9.32,505.5,99.22
609920,Gerald Delgado Kanoon Elementary Magnet School,Network 7,731.5,365.0,49.86,87.5,11.96,728.0,99.52
609921,Telpochcalli Elementary School,OS4,310.0,170.5,54.93,57.0,18.39,295.5,95.32
609922,Belmont-Cragin Elementary School,Network 3,593.5,379.5,63.98,71.5,12.06,565.0,95.19
609924,Fort Dearborn Elementary School,Network 11,404.0,0.0,0.0,47.5,11.79,393.0,97.3
609925,Joseph Kellman Corporate Community ES,Network 5,427.5,0.0,0.0,27.5,6.44,404.0,94.51
609926,Franklin Elementary Fine Arts Center,Network 4,369.0,13.5,3.66,45.5,12.33,155.0,42.01
609927,Foster Park Elementary School,Network 11,375.5,0.5,0.12,85.0,22.7,349.0,92.98
609928,Melville W Fuller Elementary School,AUSL,341.0,0.5,0.13,54.5,15.92,327.5,95.85
609929,Robert Fulton Elementary School,Network 11,497.5,111.0,22.32,52.0,10.46,492.0,98.9
609930,Frederick Funston Elementary School,Network 4,570.5,202.0,35.35,82.5,14.45,559.0,98.01
609933,Stephen F Gale Elementary Community Academy,Network 2,431.0,103.5,23.93,68.0,15.79,417.5,96.9
609935,Matthew Gallistel Elementary Language Academy,Network 13,,330.0,25.49,120.0,9.3,,96.54
609937,John W Garvy Elementary School,Network 1,788.0,141.0,17.9,109.0,13.84,347.5,44.12
609938,Joseph E Gary Elementary School,Network 7,,488.5,41.14,172.5,14.54,,98.74
609939,Frank L Gillespie Elementary School,Network 12,587.0,4.0,0.68,87.5,14.9,561.0,95.6
609941,Asa Philip Randolph Elementary School,Network 11,500.5,6.0,1.2,58.0,11.59,493.5,98.6
609942,Johann W von Goethe Elementary School,Network 4,804.5,178.0,22.12,81.5,10.13,642.0,79.8
609943,Jesse Owens Elementary Community Academy,Network 13,531.0,0.0,0.0,77.0,14.51,490.5,92.34
609944,Virgil Grissom Elementary School,Network 13,343.0,77.5,22.6,35.5,10.36,240.5,70.12
609945,William C Goudy Elementary School,Network 2,780.5,299.5,38.35,91.5,11.74,726.5,93.09
609947,Alexander Graham Elementary School,Network 6,481.0,66.5,13.8,48.0,9.98,455.5,94.7
609949,William P Gray Elementary School,Network 1,,330.5,25.76,144.5,11.28,,92.96
609950,Josefa Ortiz De Dominguez Elementary School,Network 7,737.0,536.5,72.82,82.0,11.12,720.0,97.7
609951,Ariel Elementary Community Academy,Network 9,557.5,0.0,0.0,54.5,9.76,454.0,81.46
609952,Nathanael Greene Elementary School,Network 8,631.0,282.5,44.72,51.0,8.08,606.0,96.04
609954,John Milton Gregory Elementary School,Network 5,425.5,0.0,0.0,58.0,13.64,421.5,99.08
609955,Walter Q Gresham Elementary School,AUSL,338.5,0.5,0.16,49.0,14.37,330.5,97.56
609956,Robert L Grimes Elementary School,Network 10,477.0,163.0,34.17,48.0,10.06,420.5,88.16
