School ID,Network,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
400069,POLARIS,Charter, 381 , 5 ,1.3%, 55 ,14.4%, 334 ,87.7%
400071,PROVIDENCE ENGLEWOOD,Charter, 429 , 4 ,0.9%, 36 ,8.4%, 343 ,80.0%
400096,ROWE,Charter, 758 , 228 ,30.1%, 100 ,13.2%, 650 ,85.8%
400075,U OF C - DONOGHUE,Charter, 452 , 12 ,2.7%, 31 ,6.9%, 357 ,79.0%
400076,U OF C - NKO,Charter, 298 , 3 ,1.0%, 21 ,7.0%, 216 ,72.5%
400077,U OF C - WOODLAWN HS,Charter, 578 , 5 ,0.9%, 80 ,13.8%, 495 ,85.6%
400105,URBAN PREP - BRONZEVILLE HS,Charter, 222 , 2 ,0.9%, 60 ,27.0%, 187 ,84.2%
400086,URBAN PREP - ENGLEWOOD HS,Charter, 161 , 2 ,1.2%, 40 ,24.8%, 149 ,92.5%
400125,YCCS - ASPIRA PANTOJA,Options, 192 , 78 ,40.6%, 34 ,17.7%, 169 ,88.0%
400126,YCCS - ASSOCIATION HOUSE,Options, 83 , 12 ,14.5%, 18 ,21.7%, 78 ,94.0%
400131,YCCS - CAMPOS,Options, 115 , 25 ,21.7%, 30 ,26.1%, 106 ,92.2%
400128,YCCS - CCA ACADEMY,Options, 119 , 0 ,0.0%, 38 ,31.9%, 115 ,96.6%
400150,YCCS - CHATHAM,Options, 124 , 0 ,0.0%, 29 ,23.4%, 118 ,95.2%
400133,YCCS - INNOVATIONS,Options, 509 , 7 ,1.4%, 119 ,23.4%, 500 ,98.2%
400135,YCCS - LATINO YOUTH,Options, 157 , 44 ,28.0%, 23 ,14.6%, 142 ,90.4%
400124,YCCS - MCKINLEY,Options, 89 , 2 ,2.2%, 24 ,27.0%, 86 ,96.6%
400136,YCCS - OLIVE HARVEY,Options, 111 , 10 ,9.0%, 8 ,7.2%, 95 ,85.6%
400129,YCCS - PROGRESSIVE LEADERSHIP,Options, 142 , 0 ,0.0%, 31 ,21.8%, 138 ,97.2%
400123,YCCS - SCHOLASTIC ACHIEVEMENT,Options, 129 , 1 ,0.8%, 18 ,14.0%, 120 ,93.0%
400139,YCCS - SULLIVAN,Options, 301 , 2 ,0.7%, 54 ,17.9%, 293 ,97.3%
400141,YCCS - TRUMAN,Options, 178 , 32 ,18.0%, 24 ,13.5%, 153 ,86.0%
400144,YCCS - WEST,Options, 78 , 2 ,2.6%, 20 ,25.6%, 76 ,97.4%
400143,YCCS - WEST TOWN,Options, 96 , 5 ,5.2%, 29 ,30.2%, 87 ,90.6%
400145,YCCS - YOUTH CONNECTION,Options, 116 , 2 ,1.7%, 20 ,17.2%, 106 ,91.4%
400130,YCCS - YOUTH DEVELOPMENT,Options, 86 , 1 ,1.2%, 19 ,22.1%, 85 ,98.8%
400022,CHIARTS HS,Contract, 599 , 26 ,4.3%, 56 ,9.3%, 340 ,56.8%
400147,CHICAGO EXCEL HS,Options, 225 , 1 ,0.4%, 25 ,11.1%, 212 ,94.2%
400091,CHICAGO TECH HS,Contract, 424 , 19 ,4.5%, 91 ,21.5%, 386 ,91.0%
610565,EXCEL ENGLEWOOD HS,Options, 212 , 3 ,1.4%, 34 ,16.0%, 191 ,90.1%
400175,EXCEL SOUTH SHORE HS,Options, 222 , 8 ,3.6%, 43 ,19.4%, 211 ,95.0%
400176,EXCEL SOUTHWEST HS,Options, 125 , 10 ,8.0%, 29 ,23.2%, 120 ,96.0%
400043,HOPE LEARNING ACADEMY,Contract, 241 , 10 ,4.1%, 80 ,33.2%, 203 ,84.2%
400137,LITTLE BLACK PEARL HS,Options, 83 , 0 ,0.0%, 16 ,19.3%, 74 ,89.2%
400068,PLATO,Contract, 175 , 0 ,0.0%, 16 ,9.1%, 158 ,90.3%
610572,SAFE ACHIEVE ES,Options, 2 , 0 ,0.0%, 1 ,50.0%, 2 ,100.0%
610573,SAFE ACHIEVE HS,Options, 34 , 0 ,0.0%, 12 ,35.3%, 32 ,94.1%
610569,OMBUDSMAN - NORTHWEST HS,Options, 133 , 19 ,14.3%, 20 ,15.0%, 117 ,88.0%
610593,OMBUDSMAN - ROSELAND HS,Options, 140 , 4 ,2.9%, 27 ,19.3%, 126 ,90.0%
610570,OMBUDSMAN - SOUTH HS,Options, 231 , 44 ,19.0%, 35 ,15.2%, 222 ,96.1%
610571,OMBUDSMAN - WEST HS,Options, 116 , 3 ,2.6%, 31 ,26.7%, 112 ,96.6%
610557,PATHWAYS - ASHBURN HS,Options, 259 , 31 ,12.0%, 42 ,16.2%, 222 ,85.7%
610568,PATHWAYS - AVONDALE HS,Options, 305 , 43 ,14.1%, 40 ,13.1%, 273 ,89.5%
400173,PATHWAYS - BRIGHTON PARK HS,Options, 418 , 86 ,20.6%, 63 ,15.1%, 390 ,93.3%
610594,PATHWAYS - HUMBOLDT PARK HS,Options, 150 , 17 ,11.3%, 25 ,16.7%, 132 ,88.0%
