School ID,School Name,School Network,School Year,Time Period,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification
610153,RYDER,Network 11,2017-2018,EOY,15.0,3,8,4,3,20,1,6.7,1,0.3,2,2,13.3,2,0.5,2,1,6.7,1,0.3
610342,SABIN,ISP,2017-2018,EOY,73.0,13,39,21,72,98.6,0,0,0,0,0,72,98.6,46,8.1,2.49,0,0,0,0
610250,SALAZAR,Network 6,2017-2018,EOY,9.0,5,4,0,1,11.1,1,11.1,1,0.3,2,0,0,0,0,0,0,0,0,0
610226,SANDOVAL,Network 8,2017-2018,EOY,54.0,43,11,0,2,3.7,2,3.7,2,0.2,1,0,0,0,0,0,3,5.6,1,0.1
610017,SAUCEDO,Network 7,2017-2018,EOY,197.0,125,55,17,57,28.9,42,21.3,31,3.1,1.36,15,7.6,13,1.3,2.13,0,0,0,0
610155,SAUGANASH,Network 1,2017-2018,EOY,16.0,12,2,2,4,25,4,25,4,0.7,3.5,0,0,0,0,0,3,18.8,3,0.5
610157,SAWYER,Network 8,2017-2018,EOY,169.0,69,82,18,82,48.5,68,40.2,53,3.4,1.18,14,8.3,10,0.6,1.64,3,1.8,3,0.2
610158,SAYRE,Network 3,2017-2018,EOY,124.0,76,47,1,24,19.4,6,4.8,6,1.3,1,18,14.5,13,2.8,1.06,0,0,0,0
610159,SCAMMON,Network 1,2017-2018,EOY,29.0,8,18,3,21,72.4,16,55.2,12,1.6,1.13,5,17.2,5,0.7,1.6,1,3.4,1,0.1
610178,SCHMID,Network 12,2017-2018,EOY,85.0,38,46,1,9,10.6,6,7.1,6,3.1,1.5,3,3.5,2,1,1.67,0,0,0,0
610165,SCHUBERT,Network 3,2017-2018,EOY,20.0,14,3,3,3,15,0,0,0,0,0,3,15,3,0.4,4.33,1,5,1,0.1
609729,SCHURZ HS,Network 1,2017-2018,EOY,442.0,75,240,127,253,57.2,105,23.8,84,5,1.02,148,33.5,105,6.2,1.35,87,19.7,73,4.3
609730,SENN HS,Network 2,2017-2018,EOY,736.0,459,230,47,293,39.8,28,3.8,26,1.8,1.04,265,36,157,11,1.31,45,6.1,30,2.1
610167,SEWARD,Network 8,2017-2018,EOY,39.0,16,22,1,18,46.2,17,43.6,14,2,2.24,1,2.6,1,0.1,2,3,7.7,3,0.4
610081,SHERIDAN,Network 6,2017-2018,EOY,3.0,0,2,1,2,66.7,2,66.7,2,0.4,1,0,0,0,0,0,0,0,0,0
610172,SHERMAN,AUSL,2017-2018,EOY,43.0,6,34,3,10,23.3,4,9.3,3,1.2,1.5,6,14,4,1.5,2,3,7,2,0.8
610173,SHERWOOD,Network 11,2017-2018,EOY,56.0,46,10,0,4,7.1,1,1.8,1,0.3,3,3,5.4,3,0.9,3,0,0,0,0
610174,SHIELDS,Network 8,2017-2018,EOY,45.0,3,42,0,29,64.4,24,53.3,15,1.8,1.13,5,11.1,4,0.5,1.2,0,0,0,0
610559,SHIELDS MIDDLE,Network 8,2017-2018,EOY,112.0,65,42,5,73,65.2,48,42.9,35,5.7,1.1,25,22.3,19,3.1,1.8,0,0,0,0
610175,SHOESMITH,Network 9,2017-2018,EOY,46.0,4,42,0,22,47.8,10,21.7,8,2.3,1,12,26.1,10,2.8,1.17,0,0,0,0
610176,SHOOP,Network 13,2017-2018,EOY,124.0,106,17,1,19,15.3,16,12.9,15,3.4,2,3,2.4,3,0.7,1.33,0,0,0,0
609692,SIMEON HS,ISP,2017-2018,EOY,423.0,12,297,114,393,92.9,86,20.3,83,6.4,1.2,307,72.6,203,15.6,2.64,0,0,0,0
609750,SIMPSON HS,Network 6,2017-2018,EOY,36.0,4,10,22,29,80.6,3,8.3,3,7.3,1,26,72.2,18,43.6,3.62,14,38.9,11,26.7
610177,SKINNER,ISP,2017-2018,EOY,4.0,3,1,0,2,50,1,25,1,0.1,1,1,25,1,0.1,1,0,0,0,0
610534,SKINNER NORTH,Network 4,2017-2018,EOY,21.0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,1,0.2
609978,SMITH,Network 13,2017-2018,EOY,183.0,146,32,5,37,20.2,12,6.6,12,3.4,1.5,25,13.7,20,5.7,2.28,3,1.6,3,0.9
610179,SMYSER,ISP,2017-2018,EOY,68.0,9,54,5,68,100,35,51.5,21,2.3,1.17,33,48.5,18,2,1.79,1,1.5,1,0.1
610180,SMYTH,Network 6,2017-2018,EOY,131.0,59,65,7,57,43.5,26,19.8,24,5.1,1.46,31,23.7,19,4,2.32,6,4.6,5,1.1
610383,SOCIAL JUSTICE HS,Network 7,2017-2018,EOY,47.0,19,28,0,64,136.2,19,40.4,17,6.2,1.05,45,95.7,37,13.6,2.18,0,0,0,0
610182,SOLOMON,Network 1,2017-2018,EOY,18.0,5,13,0,5,27.8,3,16.7,2,0.6,1,2,11.1,2,0.6,1.5,0,0,0,0
610543,SOLORIO HS,AUSL,2017-2018,EOY,243.0,207,26,10,144,59.3,97,39.9,68,5.8,1.02,47,19.3,40,3.4,1.98,2,0.8,2,0.2
609990,SOUTH LOOP,ISP,2017-2018,EOY,103.0,29,63,11,60,58.3,21,20.4,16,2,1.19,39,37.9,17,2.2,1.51,1,1,1,0.1
610530,SOUTH SHORE ES,Network 12,2017-2018,EOY,48.0,13,25,10,30,62.5,3,6.3,3,0.8,1.33,27,56.3,19,4.8,2.56,5,10.4,4,1
610547,SOUTH SHORE INTL HS,Network 12,2017-2018,EOY,142.0,41,81,20,109,76.8,62,43.7,52,8.1,1,47,33.1,34,5.3,2.87,9,6.3,7,1.1
610586,SOUTHEAST,Network 13,2017-2018,EOY,3.0,3,0,0,1,33.3,1,33.3,1,0.2,1,0,0,0,0,0,0,0,0,0
609745,SOUTHSIDE HS,ISP,2017-2018,EOY,21.0,12,5,4,18,85.7,0,0,0,0,0,18,85.7,9,3.5,1.94,0,0,0,0
610183,SPENCER,Network 3,2017-2018,EOY,343.0,131,198,14,143,41.7,22,6.4,21,3.9,1.14,121,35.3,69,13,1.58,1,0.3,1,0.2
610184,SPRY ES,Network 7,2017-2018,EOY,67.0,40,16,11,37,55.2,16,23.9,16,2.9,1.44,21,31.3,15,2.7,1.95,0,0,0,0
610357,SPRY HS,Network 7,2017-2018,EOY,49.0,19,16,14,55,112.2,35,71.4,18,14.2,1.09,20,40.8,13,10.2,1.6,0,0,0,0
610339,STAGG,AUSL,2017-2018,EOY,128.0,6,93,29,108,84.4,77,60.2,52,12.3,1.84,31,24.2,26,6.1,2.26,9,7,7,1.7
609732,STEINMETZ HS,Network 3,2017-2018,EOY,1923.0,1646,186,91,1364,70.9,1288,67,441,36.8,1.25,76,4,58,4.8,2.46,3,0.2,3,0.3
610548,STEM,Network 6,2017-2018,EOY,34.0,23,11,0,4,11.8,3,8.8,3,0.7,1,1,2.9,1,0.2,1,0,0,0,0
610185,STEVENSON,Network 10,2017-2018,EOY,402.0,304,88,10,17,4.2,4,1,3,0.2,1.5,13,3.2,11,0.9,1.85,1,0.2,1,0.1
610191,STONE,Network 2,2017-2018,EOY,88.0,37,50,1,18,20.5,10,11.4,7,1.1,1.3,8,9.1,5,0.8,1.13,0,0,0,0
610192,STOWE,Network 5,2017-2018,EOY,75.0,17,53,5,66,88,30,40,24,3.5,1.07,36,48,21,3.1,1.73,3,4,3,0.4
610405,SUDER,Network 6,2017-2018,EOY,143.0,65,70,8,43,30.1,33,23.1,20,4.9,1.09,10,7,5,1.2,1.4,1,0.7,1,0.2
609733,SULLIVAN HS,Network 2,2017-2018,EOY,410.0,229,128,53,73,17.8,0,0,0,0,0,73,17.8,50,7.2,3.56,11,2.7,10,1.4
610194,SUMNER,Network 5,2017-2018,EOY,41.0,11,25,5,33,80.5,26,63.4,12,4.3,1.38,7,17.1,3,1.1,2.29,2,4.9,1,0.4
610195,SUTHERLAND,Network 10,2017-2018,EOY,90.0,13,56,21,50,55.6,24,26.7,15,2.7,1.46,26,28.9,12,2.2,1.73,1,1.1,1,0.2
610196,SWIFT,Network 2,2017-2018,EOY,10.0,1,7,2,11,110,6,60,6,0.9,1.33,5,50,5,0.7,1.4,3,30,3,0.4
609734,TAFT HS,Network 1,2017-2018,EOY,2511.0,2124,291,96,291,11.6,240,9.6,149,4.5,1.03,51,2,34,1,1.2,80,3.2,68,2.1
610197,TALCOTT,ISP,2017-2018,EOY,54.0,11,36,7,8,14.8,7,13,6,1.2,1.14,1,1.9,1,0.2,5,1,1.9,1,0.2
610249,TALMAN,ISP,2017-2018,EOY,49.0,44,4,1,3,6.1,2,4.1,2,0.5,1,1,2,1,0.2,2,0,0,0,0
610279,TANNER,Network 12,2017-2018,EOY,51.0,25,23,3,15,29.4,10,19.6,9,2.6,1.2,5,9.8,5,1.4,1.4,0,0,0,0
610396,TARKINGTON,AUSL,2017-2018,EOY,190.0,130,55,5,52,27.4,36,18.9,27,2.7,1.25,16,8.4,14,1.4,1.31,1,0.5,1,0.1
610198,TAYLOR,Network 13,2017-2018,EOY,106.0,69,36,1,15,14.2,10,9.4,9,2.1,1.2,5,4.7,3,0.7,1,3,2.8,3,0.7
610506,TEAM HS,Network 11,2017-2018,EOY,86.0,45,34,7,67,77.9,43,50,32,38.8,1,24,27.9,21,25.5,3.75,6,7,6,7.3
609921,TELPOCHCALLI,Network 7,2017-2018,EOY,11.0,10,1,0,4,36.4,4,36.4,4,1.4,1,0,0,0,0,0,0,0,0,0
610200,THORP J,Network 12,2017-2018,EOY,96.0,85,9,2,21,21.9,2,2.1,2,0.6,1,19,19.8,9,2.9,1.58,2,2.1,2,0.6
610201,THORP O,ISP,2017-2018,EOY,33.0,10,20,3,19,57.6,12,36.4,10,1.2,1.08,7,21.2,5,0.6,1.57,1,3,1,0.1
609735,TILDEN HS,Network 8,2017-2018,EOY,151.0,56,63,32,137,90.7,18,11.9,15,6.4,1.22,119,78.8,73,31.1,2.24,39,25.8,33,14.1
610065,TILL,Network 9,2017-2018,EOY,48.0,4,39,5,45,93.8,2,4.2,2,0.6,1,43,89.6,32,10.2,1.37,1,2.1,1,0.3
610202,TILTON,Network 5,2017-2018,EOY,171.0,35,135,1,38,22.2,13,7.6,11,3.5,1.46,25,14.6,18,5.8,1.64,2,1.2,2,0.6
610203,TONTI,ISP,2017-2018,EOY,6.0,0,4,2,6,100,5,83.3,5,0.5,2.2,1,16.7,1,0.1,1,0,0,0,0
609895,TURNER-DREW,Network 11,2017-2018,EOY,65.0,17,48,0,21,32.3,1,1.5,1,0.4,1,20,30.8,8,3.2,1.45,0,0,0,0
610206,TWAIN,Network 10,2017-2018,EOY,184.0,129,55,0,42,22.8,35,19,26,2.3,1.23,7,3.8,5,0.4,1.43,2,1.1,2,0.2
400077,U OF C - WOODLAWN HS,Charter,2017-2018,EOY,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
610394,UPLIFT HS,Network 2,2017-2018,EOY,412.0,275,111,26,42,10.2,2,0.5,2,0.9,2,40,9.7,29,13.2,2.43,15,3.6,14,6.4
400105,URBAN PREP - BRONZEVILLE HS,Charter,2017-2018,EOY,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
400086,URBAN PREP - ENGLEWOOD HS,Charter,2017-2018,EOY,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
400102,URBAN PREP - WEST HS,Charter,2017-2018,EOY,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
610207,VANDERPOEL,Network 10,2017-2018,EOY,46.0,36,8,2,23,50,12,26.1,9,3.3,1.17,11,23.9,7,2.5,1.36,1,2.2,1,0.4
609766,VAUGHN HS,Network 1,2017-2018,EOY,125.0,42,69,14,15,12,5,4,4,1.8,1,10,8,5,2.2,1.7,7,5.6,5,2.2
610209,VOLTA,Network 1,2017-2018,EOY,73.0,40,26,7,45,61.6,34,46.6,25,2.9,1.38,11,15.1,8,0.9,2.09,1,1.4,1,0.1
610039,VON LINNE,ISP,2017-2018,EOY,15.0,1,7,7,11,73.3,5,33.3,4,0.6,1.6,6,40,6,0.9,3.17,6,40,6,0.9
609737,VON STEUBEN HS,Network 1,2017-2018,EOY,675.0,591,57,27,79,11.7,21,3.1,15,0.9,1,58,8.6,43,2.5,1.49,2,0.3,2,0.1
610366,WACKER,ISP,2017-2018,EOY,24.0,2,16,6,27,112.5,7,29.2,7,2.4,1,20,83.3,16,5.6,1.86,3,12.5,2,0.7
610213,WADSWORTH,Network 9,2017-2018,EOY,6.0,0,5,1,9,150,4,66.7,4,0.7,1,5,83.3,5,0.9,2,0,0,0,0
610216,WALSH,Network 7,2017-2018,EOY,72.0,28,40,4,10,13.9,8,11.1,7,2.1,1.5,2,2.8,2,0.6,4,3,4.2,3,0.9
610217,WARD J,ISP,2017-2018,EOY,21.0,11,10,0,4,19,3,14.3,3,0.5,1,1,4.8,1,0.2,2,0,0,0,0
610133,WARD L,Network 5,2017-2018,EOY,429.0,155,254,20,158,36.8,56,13.1,46,10.1,1.05,102,23.8,45,9.9,1.63,12,2.8,9,2
610218,WARREN,Network 12,2017-2018,EOY,8.0,2,3,3,3,37.5,0,0,0,0,0,3,37.5,2,0.9,5,1,12.5,1,0.4
610219,WASHINGTON G ES,Network 13,2017-2018,EOY,50.0,13,28,9,25,50,19,38,17,1.9,1.26,6,12,6,0.7,2,3,6,3,0.3
610124,WASHINGTON H ES,Network 12,2017-2018,EOY,10.0,0,10,0,10,100,5,50,5,1.5,1.2,5,50,5,1.5,1,0,0,0,0
609739,WASHINGTON HS,Network 13,2017-2018,EOY,9965.0,8485,1338,142,784,7.9,639,6.4,248,17.8,1.18,145,1.5,94,6.8,1.71,46,0.5,38,2.7
610220,WATERS,Network 2,2017-2018,EOY,3.0,0,1,2,3,100,0,0,0,0,0,3,100,2,0.3,4.33,1,33.3,1,0.2
610221,WEBSTER,Network 5,2017-2018,EOY,5.0,1,2,2,1,20,0,0,0,0,0,1,20,1,0.3,2,2,40,2,0.7
610110,WELLS ES,Network 9,2017-2018,EOY,55.0,6,45,4,41,74.5,0,0,0,0,0,41,74.5,32,8.5,1.78,2,3.6,2,0.5
609740,WELLS HS,Network 6,2017-2018,EOY,239.0,138,88,13,275,115.1,185,77.4,100,27.4,1.05,90,37.7,54,14.8,1.24,24,10,22,6
610223,WENTWORTH,Network 11,2017-2018,EOY,58.0,15,39,4,25,43.1,6,10.3,6,1.3,1.5,19,32.8,16,3.5,2.16,1,1.7,1,0.2
610100,WEST PARK,Network 5,2017-2018,EOY,171.0,60,99,12,90,52.6,38,22.2,28,4.7,1.37,52,30.4,30,5,2.5,5,2.9,4,0.7
610542,WEST RIDGE,Network 2,2017-2018,EOY,26.0,10,15,1,7,26.9,6,23.1,6,0.7,1.67,1,3.8,1,0.1,1,0,0,0,0
610300,WESTCOTT,Network 11,2017-2018,EOY,20.0,16,4,0,9,45,4,20,4,1,1,5,25,5,1.3,1.6,1,5,1,0.3
609693,WESTINGHOUSE HS,Network 5,2017-2018,EOY,150.0,25,67,58,98,65.3,0,0,0,0,0,98,65.3,82,6.9,3.08,0,0,0,0
610225,WHISTLER,Network 13,2017-2018,EOY,106.0,85,16,5,11,10.4,3,2.8,3,0.9,2.67,8,7.5,6,1.7,1.75,2,1.9,2,0.6
610315,WHITE,Network 13,2017-2018,EOY,20.0,10,10,0,2,10,0,0,0,0,0,2,10,2,1.2,1.5,0,0,0,0
610227,WHITNEY,Network 7,2017-2018,EOY,116.0,60,38,18,66,56.9,52,44.8,38,3.9,1.38,14,12.1,11,1.1,2.21,6,5.2,5,0.5
610228,WHITTIER,Network 7,2017-2018,EOY,42.0,10,30,2,9,21.4,5,11.9,4,1.8,1,4,9.5,2,0.9,2,0,0,0,0
610230,WILDWOOD,Network 1,2017-2018,EOY,11.0,9,1,1,2,18.2,0,0,0,0,0,2,18.2,2,0.4,3,0,0,0,0
610380,WILLIAMS HS,Network 9,2017-2018,EOY,187.0,110,66,11,95,50.8,22,11.8,20,9.2,1.27,73,39,50,22.9,2.49,15,8,14,6.4
609977,WOODLAWN,Network 9,2017-2018,EOY,4.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610345,WOODSON,Network 9,2017-2018,EOY,19.0,2,13,4,5,26.3,0,0,0,0,0,5,26.3,3,0.9,2.8,3,15.8,2,0.6
610392,WORLD LANGUAGE HS,Network 7,2017-2018,EOY,38.0,7,23,8,37,97.4,27,71.1,27,7.9,1.59,10,26.3,6,1.8,2.2,0,0,0,0
610234,YATES,Network 5,2017-2018,EOY,140.0,59,73,8,41,29.3,29,20.7,25,5.6,1.28,12,8.6,9,2,2.08,2,1.4,2,0.4
609772,ADDAMS,ISP,2016-2017,EOY,3.0,2,0,1,2,66.7,2,66.7,2,0.3,1,0,0,0,0,0,0,0,0,0
609773,AGASSIZ,ISP,2016-2017,EOY,58.0,9,43,6,53,91.4,31,53.4,19,3.8,1.19,22,37.9,12,2.4,1.32,0,0,0,0
610513,AIR FORCE HS,Network 6,2016-2017,EOY,117.0,4,88,25,66,56.4,20,17.1,19,6,2.1,46,39.3,35,11,3.09,4,3.4,4,1.3
610212,ALBANY PARK,Network 1,2016-2017,EOY,59.0,35,19,5,16,27.1,11,18.6,11,3.9,1.18,5,8.5,5,1.8,1,0,0,0,0
609774,ALCOTT ES,Network 4,2016-2017,EOY,188.0,139,48,1,3,1.6,2,1.1,2,0.3,1.5,1,0.5,1,0.2,2,2,1.1,2,0.3
610524,ALCOTT HS,Network 4,2016-2017,EOY,29.0,6,20,3,20,69,11,37.9,8,2.5,1.27,9,31,6,1.9,1.44,1,3.4,1,0.3
609848,ALDRIDGE,Network 13,2016-2017,EOY,66.0,22,40,4,16,24.2,0,0,0,0,0,16,24.2,9,5.4,2.56,7,10.6,5,3
609695,AMUNDSEN HS,Network 2,2016-2017,EOY,517.0,162,311,44,403,77.9,314,60.7,159,13.9,1.05,89,17.2,62,5.4,1.48,62,12,50,4.4
609951,ARIEL,ISP,2016-2017,EOY,37.0,6,30,1,29,78.4,2,5.4,2,0.4,1.5,27,73,24,4.8,2.19,1,2.7,1,0.2
609777,ARMOUR,Network 6,2016-2017,EOY,14.0,0,10,4,14,100,12,85.7,8,2.9,2.75,2,14.3,2,0.7,3.5,1,7.1,1,0.4
609779,ARMSTRONG G,Network 2,2016-2017,EOY,82.0,12,66,4,33,40.2,13,15.9,12,0.8,1,20,24.4,16,1.1,1.8,0,0,0,0
610287,ASHBURN,Network 10,2016-2017,EOY,103.0,101,1,1,30,29.1,9,8.7,9,1.8,1,21,20.4,16,3.2,2.24,0,0,0,0
610268,ASHE,Network 12,2016-2017,EOY,56.0,14,36,6,28,50,11,19.6,11,3.8,1,17,30.4,14,4.8,4.12,24,42.9,15,5.2
609782,AUDUBON,Network 4,2016-2017,EOY,22.0,13,6,3,10,45.5,5,22.7,3,0.5,1.2,5,22.7,4,0.7,1.2,3,13.6,3,0.5
610518,AUSTIN CCA HS,Network 3,2016-2017,EOY,418.0,140,226,52,52,12.4,6,1.4,6,2.3,2,46,11,37,13.9,2.52,30,7.2,29,10.9
609786,AVALON PARK,Network 12,2016-2017,EOY,30.0,19,9,2,11,36.7,3,10,3,1,1.33,8,26.7,6,2.1,2.5,2,6.7,2,0.7
610544,AZUELA,Network 10,2016-2017,EOY,76.0,3,67,6,28,36.8,23,30.3,20,2.1,1.57,5,6.6,5,0.5,1.4,0,0,0,0
610563,BACK OF THE YARDS HS,Network 8,2016-2017,EOY,57.0,6,28,23,43,75.4,1,1.8,1,0.1,1,42,73.7,39,3.8,2.69,3,5.3,3,0.3
610555,BANNER WEST HS,Options,2016-2017,EOY,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609788,BARNARD,Network 10,2016-2017,EOY,46.0,1,31,14,31,67.4,24,52.2,15,4.8,1.79,7,15.2,6,1.9,1.29,1,2.2,1,0.3
609789,BARRY,Network 4,2016-2017,EOY,8.0,6,1,1,2,25,1,12.5,1,0.1,1,1,12.5,1,0.1,1,0,0,0,0
609790,BARTON,Network 11,2016-2017,EOY,65.0,2,58,5,48,73.8,7,10.8,7,1.6,2,41,63.1,22,5,1.95,0,0,0,0
609791,BASS,Network 11,2016-2017,EOY,225.0,160,62,3,85,37.8,48,21.3,37,8.4,2.25,37,16.4,31,7.1,2.46,0,0,0,0
609792,BATEMAN,Network 1,2016-2017,EOY,92.0,55,30,7,37,40.2,30,32.6,24,2.3,1,7,7.6,7,0.7,2.43,2,2.2,2,0.2
610246,BEASLEY,Network 9,2016-2017,EOY,242.0,117,118,7,144,59.5,79,32.6,59,4.4,1.24,65,26.9,38,2.9,1.8,10,4.1,8,0.6
609796,BEAUBIEN,Network 1,2016-2017,EOY,222.0,29,185,8,101,45.5,60,27,37,3.4,1.05,41,18.5,25,2.3,1.24,4,1.8,4,0.4
610237,BEETHOVEN,Network 9,2016-2017,EOY,223.0,168,49,6,66,29.6,28,12.6,25,6.1,1.25,38,17,30,7.3,1.79,8,3.6,7,1.7
609797,BEIDLER,Network 5,2016-2017,EOY,70.0,28,37,5,16,22.9,1,1.4,1,0.2,2,15,21.4,11,2.4,1.93,1,1.4,1,0.2
609798,BELDING,Network 1,2016-2017,EOY,20.0,2,14,4,4,20,3,15,3,0.5,1.67,1,5,1,0.2,3,0,0,0,0
609799,BELL,Network 4,2016-2017,EOY,33.0,4,24,5,18,54.5,11,33.3,9,0.9,1.09,7,21.2,5,0.5,1.29,2,6.1,2,0.2
609922,BELMONT-CRAGIN,Network 3,2016-2017,EOY,6.0,5,1,0,5,83.3,0,0,0,0,0,5,83.3,2,0.3,2.4,1,16.7,1,0.2
609800,BENNETT,Network 13,2016-2017,EOY,24.0,9,14,1,9,37.5,9,37.5,7,2.1,2.22,0,0,0,0,0,0,0,0,0
610350,BLACK,Network 12,2016-2017,EOY,155.0,131,20,4,36,23.2,13,8.4,11,2.6,1.31,23,14.8,15,3.5,1.48,0,0,0,0
609803,BLAINE,Network 4,2016-2017,EOY,14.0,6,7,1,9,64.3,1,7.1,1,0.1,1,8,57.1,3,0.3,1.25,1,7.1,1,0.1
609698,BOGAN HS,Network 10,2016-2017,EOY,519.0,358,92,69,441,85,335,64.5,199,26.4,1.33,106,20.4,77,10.2,2.71,2,0.4,2,0.3
610238,BOND,Network 11,2016-2017,EOY,66.0,28,28,10,32,48.5,0,0,0,0,0,32,48.5,22,7.1,1.78,1,1.5,1,0.3
